"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043549","GO:0043549","regulation of kinase activity","15/168","460/18986",0.0326086956521739,3.68517080745342,5.50849820788785,1.50987504087694e-05,0.00277414374177123,0.00244970603123332,"PTPRC/CSF1R/GNAQ/SLC8A1/TAB2/CD74/UVRAG/CCNY/RAP1A/SPRED1/CAB39/FBXW7/LYN/DUSP19/NF1",15
"GO:0002761","GO:0002761","regulation of myeloid leukocyte differentiation","8/168","130/18986",0.0615384615384615,6.95457875457875,6.43681673671137,2.06780455610995e-05,0.00356179334789938,0.00314523956166197,"C1QC/INPP5D/CD74/PPP3CA/FBXW7/PIK3R1/LYN/NF1",8
"GO:0045859","GO:0045859","regulation of protein kinase activity","14/168","427/18986",0.0327868852459016,3.70530835284934,5.34227985254037,2.76500155394775e-05,0.0044825554604,0.00395831801407257,"PTPRC/CSF1R/GNAQ/SLC8A1/TAB2/UVRAG/CCNY/RAP1A/SPRED1/CAB39/FBXW7/LYN/DUSP19/NF1",14
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","14/168","433/18986",0.0323325635103926,3.65396458814473,5.27843537988096,3.22086270743003e-05,0.00493149867870953,0.00435475706408083,"SPIDR/FCHSD2/SYK/P2RY12/TMSB4X/SSH2/CYFIP1/GSN/FAF1/FER/VPS8/RASA1/BIN1/BAIAP2L1",14
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","13/168","400/18986",0.0325,3.67288690476191,5.10494211557105,5.89424417488159e-05,0.00805947691548681,0.00711691644206154,"FHOD1/FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/TGFBR1/FER/RASA1/BIN1/PIK3R1/BAIAP2L1/AKAP13",13
"GO:0051258","GO:0051258","protein polymerization","11/168","293/18986",0.037542662116041,4.24276775556639,5.28546696370054,6.20290267050514e-05,0.00805947691548681,0.00711691644206154,"FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/RANBP9/FER/TTC17/RASA1/BIN1/BAIAP2L1",11
"GO:0030316","GO:0030316","osteoclast differentiation","7/168","112/18986",0.0625,7.06324404761905,6.0807240426207,6.22727213264634e-05,0.00805947691548681,0.00711691644206154,"CSF1R/INPP5D/LRRK1/PPP3CA/FBXW7/PIK3R1/NF1",7
"GO:0006911","GO:0006911","phagocytosis, engulfment","5/168","48/18986",0.104166666666667,11.7720734126984,7.06034749465902,6.43354470757293e-05,0.00805947691548681,0.00711691644206154,"C3/ELMO1/GSN/ARHGAP12/ARHGAP25",5
"GO:0002573","GO:0002573","myeloid leukocyte differentiation","10/168","247/18986",0.0404858299595142,4.57538075959129,5.34405327832639,7.21502562758306e-05,0.008645482882443,0.00763438867321374,"C1QC/CSF1R/INPP5D/LRRK1/CD74/PPP3CA/FBXW7/PIK3R1/LYN/NF1",10
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","11/168","300/18986",0.0366666666666667,4.14376984126984,5.18592710594444,7.66105026292356e-05,0.00879743938525722,0.00776857377538565,"ARHGAP24/DOCK10/ARHGAP26/FGD4/ABR/GBF1/ARHGAP12/ARHGAP25/NF1/PREX2/AKAP13",11
"GO:1902106","GO:1902106","negative regulation of leukocyte differentiation","7/168","117/18986",0.0598290598290598,6.76139601139601,5.90635335690408,8.2158830141288e-05,0.00905718943477559,0.00799794590680665,"C1QC/INPP5D/CD74/FBXW7/PIK3R1/LYN/NF1",7
"GO:0006929","GO:0006929","substrate-dependent cell migration","4/168","27/18986",0.148148148148148,16.7425044091711,7.73430335375971,8.85541552702233e-05,0.00938674045864367,0.0082889557483707,"PTPRC/P2RY12/STK4/ANKS1A",4
"GO:0032271","GO:0032271","regulation of protein polymerization","9/168","207/18986",0.0434782608695652,4.91356107660456,5.34926689777621,9.70185407300888e-05,0.00990307771304165,0.00874490706307856,"FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/FER/RASA1/BIN1/BAIAP2L1",9
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","8/168","166/18986",0.0481927710843374,5.44635685599541,5.43652963026438,0.000117264787560793,0.0112541834233907,0.00993800018137628,"PTPRC/CSF1R/SYK/CD74/MEF2C/ST6GAL1/PPP3CA/LYN",8
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","7/168","124/18986",0.0564516129032258,6.37970430107527,5.67869556630821,0.000118422104237421,0.0112541834233907,0.00993800018137628,"C1QC/INPP5D/CD74/FBXW7/PIK3R1/LYN/NF1",7
"GO:0099024","GO:0099024","plasma membrane invagination","5/168","57/18986",0.087719298245614,9.91332497911445,6.36775789360182,0.000147548592340468,0.0129285307535781,0.0114165316256484,"C3/ELMO1/GSN/ARHGAP12/ARHGAP25",5
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","9/168","219/18986",0.0410958904109589,4.64432485322896,5.12524844727486,0.000148678668327912,0.0129285307535781,0.0114165316256484,"C1QC/INPP5D/CD74/MEF2C/PPP3CA/FBXW7/PIK3R1/LYN/NF1",9
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","10/168","270/18986",0.037037037037037,4.18562610229277,4.98130775959217,0.000150113564627902,0.0129285307535781,0.0114165316256484,"PTPRC/CSF1R/INPP5D/SYK/CD74/MEF2C/ST6GAL1/PPP3CA/LYN/NF1",10
"GO:1902905","GO:1902905","positive regulation of supramolecular fiber organization","8/168","177/18986",0.0451977401129944,5.10788270110304,5.1879409408435,0.000182468859660856,0.0152389144613733,0.0134567146263445,"FHOD1/FCHSD2/CYFIP1/GSN/TGFBR1/FER/BIN1/BAIAP2L1",8
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","11/168","337/18986",0.0326409495548961,3.68881588243606,4.70566981158432,0.000212368680991108,0.0172143554356321,0.0152011266393635,"C1QC/PTPRC/ARID1B/INPP5D/SYK/CD74/PPP3CA/FBXW7/PIK3R1/LYN/NF1",11
"GO:0045671","GO:0045671","negative regulation of osteoclast differentiation","4/168","34/18986",0.117647058823529,13.2955182072829,6.78003571221391,0.000222986562081699,0.0174599327137981,0.0154179835132156,"INPP5D/FBXW7/PIK3R1/NF1",4
"GO:0051127","GO:0051127","positive regulation of actin nucleation","3/168","14/18986",0.214285714285714,24.2168367346939,8.21076678316186,0.000230579664546568,0.0174599327137981,0.0154179835132156,"FCHSD2/CYFIP1/GSN",3
"GO:0045638","GO:0045638","negative regulation of myeloid cell differentiation","6/168","99/18986",0.0606060606060606,6.84920634920635,5.51323188772601,0.000249354480821835,0.0174599327137981,0.0154179835132156,"C1QC/INPP5D/FBXW7/PIK3R1/LYN/NF1",6
"GO:0008360","GO:0008360","regulation of cell shape","7/168","140/18986",0.05,5.65059523809524,5.21838571346089,0.000251096817505669,0.0174599327137981,0.0154179835132156,"CSF1R/FGD4/FMNL2/CYFIP1/MKLN1/RASA1/FMNL3",7
"GO:0010324","GO:0010324","membrane invagination","5/168","64/18986",0.078125,8.82905505952381,5.92773833776093,0.000255625786313013,0.0174599327137981,0.0154179835132156,"C3/ELMO1/GSN/ARHGAP12/ARHGAP25",5
"GO:0051495","GO:0051495","positive regulation of cytoskeleton organization","8/168","186/18986",0.043010752688172,4.86072708653354,4.99942272027789,0.000255756785450658,0.0174599327137981,0.0154179835132156,"FHOD1/FCHSD2/CYFIP1/GSN/TGFBR1/FER/BIN1/BAIAP2L1",8
"GO:0051235","GO:0051235","maintenance of location","11/168","345/18986",0.0318840579710145,3.60327812284334,4.61071971713382,0.000259745007716154,0.0174599327137981,0.0154179835132156,"C3/PTPRC/SLC8A1/TMSB4X/UVRAG/GSN/FAF1/RYR1/ITPR2/FBXW7/LYN",11
"GO:0001782","GO:0001782","B cell homeostasis","4/168","36/18986",0.111111111111111,12.5568783068783,6.55783360545299,0.000279357246973413,0.0183311564918744,0.0161873171679832,"DOCK10/CD74/MEF2C/LYN",4
"GO:0098883","GO:0098883","synapse pruning","3/168","15/18986",0.2,22.602380952381,7.90815817905787,0.000286353894456516,0.0183532868167944,0.0162068593386405,"C1QC/C1QB/C3",3
"GO:0045453","GO:0045453","bone resorption","5/168","66/18986",0.0757575757575758,8.56150793650794,5.8142409233568,0.000295397209987478,0.018502607061943,0.0163387164950012,"CSF1R/INPP5D/SYK/LRRK1/NF1",5
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","10/168","296/18986",0.0337837837837838,3.81796975546976,4.61690291225153,0.000314093359886254,0.0189899796438458,0.0167690905723671,"PTPRC/CSF1R/SYK/CD74/RAP1A/SPRED1/RANBP9/FBXW7/LYN/NF1",10
"GO:0030888","GO:0030888","regulation of B cell proliferation","5/168","67/18986",0.0746268656716418,8.43372423596304,5.75927702085102,0.000316959021631679,0.0189899796438458,0.0167690905723671,"PTPRC/INPP5D/CD74/MEF2C/LYN",5
"GO:0043087","GO:0043087","regulation of GTPase activity","8/168","193/18986",0.0414507772020725,4.68443128546756,4.86098486063842,0.00032809507486444,0.0192389367303489,0.0169889319840221,"DOCK10/FGD4/LRCH1/ABR/RAP1A/USP6NL/ASAP1/NF1",8
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","8/168","200/18986",0.04,4.52047619047619,4.72903425431333,0.000416330513351503,0.0239043103082655,0.0211086874313306,"SPIDR/FCHSD2/SYK/P2RY12/FAF1/FER/BIN1/BAIAP2L1",8
"GO:0006469","GO:0006469","negative regulation of protein kinase activity","7/168","155/18986",0.0451612903225806,5.10376344086021,4.84713019433035,0.000465381982196389,0.0258775788560624,0.0228511810844154,"PTPRC/GNAQ/SLC8A1/SPRED1/LYN/DUSP19/NF1",7
"GO:0045670","GO:0045670","regulation of osteoclast differentiation","5/168","73/18986",0.0684931506849315,7.74054142204827,5.45191668167673,0.000472394755908309,0.0258775788560624,0.0228511810844154,"INPP5D/PPP3CA/FBXW7/PIK3R1/NF1",5
"GO:1903706","GO:1903706","regulation of hemopoiesis","12/168","433/18986",0.0277136258660508,3.13196964698119,4.24024648396861,0.000488219770970783,0.0258775788560624,0.0228511810844154,"C1QC/PTPRC/ARID1B/INPP5D/SYK/CD74/MEF2C/PPP3CA/FBXW7/PIK3R1/LYN/NF1",12
"GO:0120032","GO:0120032","regulation of plasma membrane bounded cell projection assembly","8/168","205/18986",0.0390243902439024,4.41022067363531,4.63845413402629,0.000490467451233993,0.0258775788560624,0.0228511810844154,"ARHGAP24/P2RY12/CYFIP1/SDCCAG8/TGFBR1/FER/ASAP1/PIK3R1",8
"GO:0033674","GO:0033674","positive regulation of kinase activity","9/168","258/18986",0.0348837209302326,3.94227574750831,4.49594235369767,0.00049764574723197,0.0258775788560624,0.0228511810844154,"PTPRC/CSF1R/TAB2/CD74/CCNY/RAP1A/CAB39/FBXW7/DUSP19",9
"GO:0060491","GO:0060491","regulation of cell projection assembly","8/168","207/18986",0.0386473429951691,4.36760984587072,4.60303123434854,0.000522968375734629,0.0266907563615674,0.0235692570116659,"ARHGAP24/P2RY12/CYFIP1/SDCCAG8/TGFBR1/FER/ASAP1/PIK3R1",8
"GO:0045124","GO:0045124","regulation of bone resorption","4/168","43/18986",0.0930232558139535,10.5127353266888,5.9004953327743,0.000557778093622906,0.02778186059981,0.0245327559799712,"CSF1R/INPP5D/SYK/NF1",4
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","10/168","319/18986",0.0313479623824451,3.54269293924466,4.32738170188534,0.000564508052826327,0.02778186059981,0.0245327559799712,"PTPRC/CSF1R/SYK/CD74/RAP1A/SPRED1/RANBP9/FBXW7/LYN/NF1",10
"GO:0033673","GO:0033673","negative regulation of kinase activity","7/168","166/18986",0.0421686746987952,4.76556224899598,4.60412679510148,0.00070005622155612,0.0338483323966433,0.0298897504014358,"PTPRC/GNAQ/SLC8A1/SPRED1/LYN/DUSP19/NF1",7
"GO:0051345","GO:0051345","positive regulation of hydrolase activity","10/168","331/18986",0.0302114803625378,3.41425694144727,4.18671181926925,0.00075004155880115,0.0356399057940684,0.0314717982567742,"DOCK10/SYK/MEF2C/ABR/GSN/RAP1A/USP6NL/ASAP1/LYN/NF1",10
"GO:0097305","GO:0097305","response to alcohol","9/168","275/18986",0.0327272727272727,3.69857142857143,4.25917000139662,0.000785078471898191,0.0366724791279901,0.0323836115437755,"PTPRC/GNAQ/SPIDR/GNB1/FKBP5/ST6GAL1/TGFBR1/RPL15/ITPR2",9
"GO:0051651","GO:0051651","maintenance of location in cell","8/168","224/18986",0.0357142857142857,4.03613945578231,4.31896185643545,0.000875878178062039,0.0402320043123163,0.0355268482049023,"PTPRC/SLC8A1/TMSB4X/UVRAG/GSN/RYR1/ITPR2/LYN",8
"GO:0002861","GO:0002861","regulation of inflammatory response to antigenic stimulus","4/168","49/18986",0.0816326530612245,9.22546161321671,5.44723284536683,0.00091899400579078,0.0408507658057966,0.0360732451848605,"C3/SYK/RHBDF2/LYN",4
"GO:0033628","GO:0033628","regulation of cell adhesion mediated by integrin","4/168","49/18986",0.0816326530612245,9.22546161321671,5.44723284536683,0.00091899400579078,0.0408507658057966,0.0360732451848605,"SYK/P2RY12/LYN/PDE3B",4
"GO:0070661","GO:0070661","leukocyte proliferation","10/168","341/18986",0.0293255131964809,3.31413210445468,4.07434079679073,0.000940687607317353,0.0411513499328036,0.0363386758248575,"PTPRC/CSF1R/INPP5D/SYK/CD74/MEF2C/ST6GAL1/PPP3CA/LYN/NF1",10
"GO:0042113","GO:0042113","B cell activation","9/168","284/18986",0.0316901408450704,3.58136317907445,4.1413073591238,0.000984908298279786,0.0423519640439507,0.0373988774232732,"C3/PTPRC/DOCK10/INPP5D/SYK/CD74/MEF2C/PIK3R1/LYN",9
"GO:0050871","GO:0050871","positive regulation of B cell activation","5/168","86/18986",0.0581395348837209,6.57045957918051,4.89195620354773,0.000998867076508271,0.0423519640439507,0.0373988774232732,"PTPRC/INPP5D/SYK/CD74/MEF2C",5
"GO:0016601","GO:0016601","Rac protein signal transduction","4/168","51/18986",0.0784313725490196,8.86367880485527,5.31314182844728,0.00106916216011586,0.0439792673623776,0.0388358666800921,"ARHGAP24/ELMO1/CYFIP1/NF1",4
"GO:0046850","GO:0046850","regulation of bone remodeling","4/168","51/18986",0.0784313725490196,8.86367880485527,5.31314182844728,0.00106916216011586,0.0439792673623776,0.0388358666800921,"CSF1R/INPP5D/SYK/NF1",4
"GO:0034103","GO:0034103","regulation of tissue remodeling","5/168","88/18986",0.0568181818181818,6.42113095238095,4.81611137272263,0.00110781899025001,0.0448992520166034,0.0396482585984214,"CSF1R/INPP5D/SYK/PPP3CA/NF1",5
"GO:0030838","GO:0030838","positive regulation of actin filament polymerization","4/168","52/18986",0.0769230769230769,8.69322344322344,5.24882437133191,0.00115035030469308,0.0459473252135382,0.0405737590305173,"FCHSD2/FER/BIN1/BAIAP2L1",4
"GO:0050864","GO:0050864","regulation of B cell activation","6/168","133/18986",0.0451127819548872,5.09828141783029,4.48136763321655,0.00119268233760647,0.0469576074634778,0.0414658881886642,"PTPRC/INPP5D/SYK/CD74/MEF2C/LYN",6
"GO:0046849","GO:0046849","bone remodeling","5/168","90/18986",0.0555555555555556,6.27843915343915,4.74258413035951,0.00122534002921971,0.0475639031060497,0.0420012772061672,"CSF1R/INPP5D/SYK/LRRK1/NF1",5
"GO:0006909","GO:0006909","phagocytosis","8/168","239/18986",0.0334728033472803,3.78282526399681,4.09064891980775,0.00132684550164631,0.0498450259578373,0.0440156214248414,"C3/PTPRC/SYK/ELMO1/GSN/ARHGAP12/LYN/ARHGAP25",8
"GO:0016358","GO:0016358","dendrite development","8/168","239/18986",0.0334728033472803,3.78282526399681,4.09064891980775,0.00132684550164631,0.0498450259578373,0.0440156214248414,"DOCK10/SDK1/MEF2C/CYFIP1/PPP3CA/ASAP1/KIDINS220/PREX2",8
"GO:0042100","GO:0042100","B cell proliferation","5/168","92/18986",0.0543478260869565,6.14195134575569,4.67125021239266,0.00135183610780873,0.0498450259578373,0.0440156214248414,"PTPRC/INPP5D/CD74/MEF2C/LYN",5
"GO:0038095","GO:0038095","Fc-epsilon receptor signaling pathway","3/168","25/18986",0.12,13.5614285714286,5.93815634462366,0.00135645027098614,0.0498450259578373,0.0440156214248414,"SYK/FER/LYN",3
